scanner_model,lbp_bin_0,lbp_bin_1,lbp_bin_2,lbp_bin_3,lbp_bin_4,lbp_bin_5,lbp_bin_6,lbp_bin_7,lbp_bin_8,lbp_bin_9
scannerA,0.0560150146484375,0.07110595703125,0.02069091796875,0.0225677490234375,0.0470428466796875,0.036376953125,0.0190582275390625,0.01983642578125,0.600250244140625,0.1070556640625
scannerA,0.0202789306640625,0.0474395751953125,0.0076141357421875,0.009246826171875,0.032684326171875,0.066986083984375,0.004669189453125,0.0040283203125,0.725616455078125,0.0814361572265625
scannerB,0.0402374267578125,0.06280517578125,0.009613037109375,0.0146331787109375,0.043731689453125,0.036834716796875,0.0113525390625,0.01641845703125,0.6842803955078125,0.0800933837890625
scannerC,0.0227508544921875,0.0500946044921875,0.0076751708984375,0.0115966796875,0.0439300537109375,0.0458221435546875,0.0056915283203125,0.0066375732421875,0.733306884765625,0.0724945068359375
scannerD,0.03228759765625,0.0704498291015625,0.00927734375,0.0144195556640625,0.05682373046875,0.0860748291015625,0.0044708251953125,0.005523681640625,0.6287994384765625,0.0918731689453125
